state,statecode,year,accountability,veto,alliance,gini_disp,ed,CP
Angola,ANG,2001,0.351,0,0,50.3,2.449,1
Argentina,ARG,2001,0.936,1,0,46.4,8.41,0
Armenia,ARM,2001,0.638,1,0,38.8,10.624,1
Australia,AUL,2001,0.97,0,0,31.8,13.005,1
Austria,AUS,2001,0.97,0,0,26.7,13.005,0
Belarus,BLR,2001,0.27,1,0,24.5,9.894,1
Belgium,BEL,2001,0.951,0,1,26.5,10.786,0
Bolivia,BOL,2001,0.887,1,0,53.4,7.745,0
Botswana,BOT,2001,0.897,0,0,58.6,9.19,0
Brazil,BRA,2001,0.945,1,0,52.4,7.6,0
Bulgaria,BUL,2001,0.906,1,0,32.2,10.686,0
Burkina Faso,BFO,2001,0.805,1,0,46,0.938,0
Cameroon,CAO,2001,0.537,0,0,44.6,4.704,1
Canada,CAN,2001,0.94,0,1,31.1,12.864,1
Chile,CHL,2001,0.959,1,0,50.3,9.991,0
China,CHN,2001,0.196,1,0,39.9,6.963,1
Colombia,COL,2001,0.807,0,0,52.5,7.021,1
Costa Rica,COS,2001,0.971,1,0,45.2,6.951,0
Croatia,CRO,2001,0.89,1,0,53.7,0,0
Cyprus,CYP,2001,0.914,0,0,27.2,8.544,0
Czech Republic,CZR,2001,0.949,1,1,29.7,10.803,0
Denmark,DEN,2001,0.977,1,1,22.8,12.025,0
Djibouti,DJI,2001,0.409,1,0,42,0,0
Dominican Republic,DOM,2001,0.805,0,0,47.1,6.021,0
Ecuador,ECU,2001,0.854,0,0,49.7,8.066,0
Egypt,EGY,2001,0.384,1,0,41.4,6.919,0
El Salvador,SAL,2001,0.762,1,0,46.8,5.309,0
Estonia,EST,2001,0.956,1,0,34.9,11.28,0
Ethiopia,ETH,2001,0.358,1,0,33.1,0,0
Finland,FIN,2001,0.971,0,0,25,11.526,0
France,FRN,2001,0.952,1,1,27.9,11.902,1
Georgia,GRG,2001,0.63,1,0,37.6,10.695,1
Germany,GMY,2001,0.979,1,1,26.8,12.899,1
Ghana,GHA,2001,0.923,0,0,41.9,5.322,0
Greece,GRC,2001,0.954,0,1,33.3,9.953,1
Guatemala,GUA,2001,0.801,1,0,49.9,4.978,0
Honduras,HON,2001,0.742,1,0,50.6,5.466,1
Hungary,HUN,2001,0.928,1,1,27.2,10.794,0
Iceland,ICE,2001,0.944,0,1,30.1,10.68,0
India,IND,2001,0.915,0,0,44.7,4.543,1
Iran,IRN,2001,0.551,0,0,42,5.593,1
Ireland,IRE,2001,0.952,1,0,31.5,10.204,0
Israel,ISR,2001,0.922,0,0,35.1,10.517,0
Italy,ITA,2001,0.948,1,1,33.4,10.347,0
Jamaica,JAM,2001,0.882,1,0,42,8.72,0
